open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_20_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell,call_prices,put_prices
397.52,397.55,397.31,397.31,13756.0,397.4265,2023-01-17 12:47:00+00:00,100,2023-01-17,12:47:00,397.5037084109992,397.6096230621214,397.7084937367348,0.0876666703455569,398.059160418117,397.3578270553526,397.5,-0.0477987421383642,-0.0093023723409958,False,True,True,False,False,False,3.46,0.0
397.64,398.06,397.2396,397.42,47127.0,397.8397,2023-01-17 13:00:00+00:00,375,2023-01-17,13:00:00,397.4032642038677,397.4091392110778,397.4745841305306,0.1172378327295621,397.9435354614489,397.0056327996124,397.39,0.007549258914424,-0.0035201708051616,False,False,False,True,False,False,3.63,0.0
398.42,398.57,398.42,398.57,38223.0,398.4989,2023-01-17 14:26:00+00:00,273,2023-01-17,14:26:00,398.3131287420508,398.1950440686081,398.078055203966,0.1206859241929343,398.5607989007378,397.59531150719425,398.44,0.0326272462604144,0.0091697239842213,True,False,False,False,True,False,0.0,3.72
398.68,398.88,398.3,398.3,262007.0,398.5991,2023-01-17 14:33:00+00:00,2450,2023-01-17,14:33:00,398.53756245038073,398.49674138876213,398.34867491706,0.1957732570009061,399.1317679450637,397.5655818890564,398.6701,-0.0928336486734218,0.0021424117076087,False,False,False,False,False,True,0.0,3.6
398.4,398.4,397.83,397.91,224255.0,398.0317,2023-01-17 15:42:00+00:00,2056,2023-01-17,15:42:00,398.4283680432068,398.7696849364343,399.1055191054322,0.3033628250275616,400.3189704055425,397.892067805322,398.4,-0.1229919678714739,-0.0259253998684551,False,True,True,False,False,False,3.48,0.0
398.23,398.42,398.22,398.23,166001.0,398.2964,2023-01-17 15:59:00+00:00,922,2023-01-17,15:59:00,398.2127552449796,398.2536249858746,398.4154485876077,0.2571966759560565,399.44423529143194,397.3866618837835,398.22,0.0025111747275352,-0.0088259687956648,False,True,False,True,False,False,3.306,0.0
398.95,399.0,398.95,398.99,1498.0,398.9809,2023-01-18 12:47:00+00:00,20,2023-01-18,12:47:00,398.90668646909734,398.83460893821047,398.7537747891219,0.0573406245010632,398.9831372871262,398.5244122911177,398.98,0.0025063912978071,0.0058941850066458,True,False,False,False,True,False,0.0,6.32
398.92,399.15,398.0604,398.96,42611.0,398.7094,2023-01-18 13:00:00+00:00,494,2023-01-18,13:00:00,399.05386847932,399.04322788409945,398.9729083599173,0.1043669837693367,399.39037629499467,398.55544042484,399.11,-0.0375836235624349,0.0032606400531692,False,False,False,False,False,True,0.0,6.65
398.99,400.0,398.87,399.82,177811.0,399.5957,2023-01-18 13:30:00+00:00,719,2023-01-18,13:30:00,399.1000977726486,398.93202027120776,398.86097336023977,0.173961718388636,399.5568202337943,398.1651264866852,398.72,0.2758828250401198,0.0122915682713078,True,False,False,False,True,False,0.0,7.85
399.55,399.56,397.9,398.27,148658.0,398.8794,2023-01-18 13:33:00+00:00,882,2023-01-18,13:33:00,398.9596585993034,398.9548630936968,398.90272068652246,0.289815428303458,400.0619823997363,397.74345897330863,399.52,-0.3128754505406488,-0.0078543455135653,False,True,False,False,False,True,0.0,7.4575
